linkID,Standard,German,English,FNameAbbr,ParentFirm,FirmNote
29,Baltic Oil Ltd.,Baltische Öl GmbH,Baltic Oil Ltd.,Baltöl,,
30,Barthold,Barthold,,,,
31,Bartolith Firm,Bartolith Firm,,,,
32,Bassow & Tokkul,Bassow & Tokkul,,,,
33,Bata Shoe Factory,Bata Shoe Factory,,,,
34,Bau AG Negrelli,Bau AG Negrelli,,,,
35,Baugemeinschaft Grafschaft Glatz,Baugemeinschaft Grafschaft Glatz,,,,
36,Baustelle Schichau Elbing,Baustelle Schichau Elbing,,,,
37,Bavarian Motor Works,Bayerische Motoren Werke,Bavarian Motor Works,BMW,,
38,Bayerischer Lloyd,Bayerischer Lloyd,,,,
39,Bazun,Bazun,,,,
40,Behrendt Farm,Behrendt Farm,,,,
41,Berg Burggraf,Berg Burggraf,,,,
42,Berka Martynwerke,Berka Martynwerke,,,,
43,Berlin Construction Co.,Berlin Construction Co.,,,,
44,Berlstedt,Berlstedt,,,,
45,Bernsdorf & Co. munitions Factory,Bernsdorf & Co. munitions Factory,,,,
46,Betonfabrik,Betonfabrik,,,,
47,Betrieb Schlier,Betrieb Schlier,,,,
48,Betting Hartsteinwerke GmbH,Betting Hartsteinwerke GmbH,,,,
49,Beuchelt,Beuchelt,,,,
50,Bims- und Faserstoffbetonwerke Anton Racz,Bims- und Faserstoffbetonwerke Anton Racz,,,,
51,Blaupunkt,Blaupunkt,,,,
52,Bode,Bode,,,,
53,Bohemia-Keramische Werke AG,Bohemia-Keramische Werke AG,,,,
54,Bomb Finders,Bomb Finders,,,,
55,Borgward-Werke,Borgward-Werke,,,,
56,Borsig-Werke,Borsig-Werke,,,,
57,Bosch,Bosch,,,,
58,Braun und Co. Schieferverwaltung,Braun und Co. Schieferverwaltung,,,,
59,Brown Coal Gasoline Inc.,Braunkohle-Benzin AG,Brown Coal Gasoline Inc.,Brabag,,
60,Bremen Vulkan,Bremen Vulkan,,,,Shipyard
61,Bremen Wollkammerei,Bremen Wollkammerei,,,,
62,Büssing United New Automobile Company Corp.,Büssing Vereinigte Neue-Automobil-Gesellschaft AG,Büssing United New Automobile Company Corp.,Büssing NAG,,
63,Butzer und Holzmann AG,Butzer und Holzmann AG,,,,
64,Bygk-Guldenwerke,Bygk-Guldenwerke,,,,
65,C. Lorenz AG,C. Lorenz AG,,,,
66,Carl Stephun,Carl Stephun,,,,
67,Carl Zeiss AG,Carl Zeiss AG,,,,
68,Carpentry,Carpentry,,,,
69,Carstens Company,Carstens Company,,,,
70,Chemische Werke GmbH,Chemische Werke GmbH,,,,
71,Christ u Co.,Christ u Co.,,,,
72,Christian Krutwig,Christian Krutwig,,,,
73,Christian Mansfeld GmbH,Christian Mansfeld GmbH,,,,
74,Christoph & Unmack AG,Christoph & Unmack AG,,,,
75,City Brickyard,City Brickyard,,,,
76,City of Steyr,City of Steyr,,,,
77,Construction Administration,Construction Administration,,,,
78,Construction Project Management of the Waffen SS,Construction Project Management of the Waffen SS,,,,
79,Continental-Gummiwerke AG,Continental-Gummiwerke AG,,,,
80,Cottbus,Cottbus,,,,
81,Czernilofsky,Czernilofsky,,,,
82,Daimler-Benz,Daimler-Benz,,DB,,
83,Danzig Holm,Danzig Holm,,,,
84,Danzig Senate Roads Administration,Danzig Senate Roads Administration,,,,
